TypeName, NumOps, NumCols, Select, CompressUpdate, CompressProject
ArbitraryCols, 20, 9, 1, 8673.33, 8560.83
ArbitraryCols, 20, 8, 0, 30.1447, 31.7357
ArbitraryCols, 20, 8, 0.05, 425.201, 505.151
ArbitraryCols, 20, 8, 0.1, 885.12, 827.142
ArbitraryCols, 20, 8, 0.15, 1345.68, 1148.58
ArbitraryCols, 20, 8, 0.2, 1751.86, 1575.18
ArbitraryCols, 20, 8, 0.25, 2193.86, 1968.26
ArbitraryCols, 20, 8, 0.3, 2497.83, 2196.48
ArbitraryCols, 20, 8, 0.35, 2999.2, 2679.16
ArbitraryCols, 20, 8, 0.4, 3303.51, 2931.7
ArbitraryCols, 20, 8, 0.45, 3772.87, 3373.85
ArbitraryCols, 20, 8, 0.5, 4130.07, 3646.38
ArbitraryCols, 20, 8, 0.55, 4614.7, 3951.85
ArbitraryCols, 20, 8, 0.6, 5043.44, 4179.83
ArbitraryCols, 20, 8, 0.65, 5428.99, 4627.65
ArbitraryCols, 20, 8, 0.7, 5811.4, 4851.63
ArbitraryCols, 20, 8, 0.75, 6230.09, 5302.23
ArbitraryCols, 20, 8, 0.8, 6670.46, 5478.45
ArbitraryCols, 20, 8, 0.85, 6894.83, 5903.12
ArbitraryCols, 20, 8, 0.9, 7460.42, 6184.5
ArbitraryCols, 20, 8, 0.95, 7827.48, 6463.42
ArbitraryCols, 20, 8, 1, 8200.43, 6739.84
ArbitraryCols, 20, 7, 0, 29.503, 31.4546
ArbitraryCols, 20, 7, 0.05, 407.256, 383.546
ArbitraryCols, 20, 7, 0.1, 762.783, 795.84
ArbitraryCols, 20, 7, 0.15, 1143.2, 1133.19
ArbitraryCols, 20, 7, 0.2, 1414.54, 1467.12
ArbitraryCols, 20, 7, 0.25, 1759.81, 1712.98
ArbitraryCols, 20, 7, 0.3, 2197.42, 2126.67
ArbitraryCols, 20, 7, 0.35, 2542.87, 2351.45
ArbitraryCols, 20, 7, 0.4, 2844.61, 2526.81
ArbitraryCols, 20, 7, 0.45, 3081.47, 2826
ArbitraryCols, 20, 7, 0.5, 3429.44, 3371.78
ArbitraryCols, 20, 7, 0.55, 3713.27, 3452.26
ArbitraryCols, 20, 7, 0.6, 3956.23, 3709.73
ArbitraryCols, 20, 7, 0.65, 4165.86, 3936.91
ArbitraryCols, 20, 7, 0.7, 4450.05, 4337.23
ArbitraryCols, 20, 7, 0.75, 4782.76, 4558.18
ArbitraryCols, 20, 7, 0.8, 4992.09, 4851.19
ArbitraryCols, 20, 7, 0.85, 5695.35, 5176.63
ArbitraryCols, 20, 7, 0.9, 5441.73, 5481.32
ArbitraryCols, 20, 7, 0.95, 5821.17, 5690.12
ArbitraryCols, 20, 7, 1, 5960.73, 6068.38
ArbitraryCols, 20, 6, 0, 29.7182, 31.7309
ArbitraryCols, 20, 6, 0.05, 369.227, 307.661
ArbitraryCols, 20, 6, 0.1, 731.17, 641.354
ArbitraryCols, 20, 6, 0.15, 1110.63, 994.262
ArbitraryCols, 20, 6, 0.2, 1328.04, 1320.06
ArbitraryCols, 20, 6, 0.25, 1633.69, 1621.17
ArbitraryCols, 20, 6, 0.3, 1851.69, 1951.29
ArbitraryCols, 20, 6, 0.35, 2184.87, 2145.96
ArbitraryCols, 20, 6, 0.4, 2541.8, 2378.67
ArbitraryCols, 20, 6, 0.45, 2726.03, 2677.86
ArbitraryCols, 20, 6, 0.5, 3102.22, 2942.44
ArbitraryCols, 20, 6, 0.55, 3326.47, 3111.46
ArbitraryCols, 20, 6, 0.6, 3682.66, 3417.28
ArbitraryCols, 20, 6, 0.65, 3962.55, 3857.89
ArbitraryCols, 20, 6, 0.7, 4225.78, 4004.19
ArbitraryCols, 20, 6, 0.75, 4395.49, 4259.47
