TypeName, NumOps, NumCols, Select, CompressUpdate, CompressProject
ArbitraryCols, 20, 7, 0.65, 3279.74, 2964.4
ArbitraryCols, 20, 7, 0.7, 3488.91, 3103.37
ArbitraryCols, 20, 7, 0.75, 3662.51, 3383.19
ArbitraryCols, 20, 7, 0.8, 3781.94, 3533.64
ArbitraryCols, 20, 7, 0.85, 4050.38, 3675.87
ArbitraryCols, 20, 7, 0.9, 4221.94, 3861.52
ArbitraryCols, 20, 7, 0.95, 4390.52, 4057.04
ArbitraryCols, 20, 7, 1, 4594.63, 4447.49
ArbitraryCols, 20, 6, 0, 30.0806, 31.1562
ArbitraryCols, 20, 6, 0.05, 273.261, 328.096
ArbitraryCols, 20, 6, 0.1, 518.555, 569.616
ArbitraryCols, 20, 6, 0.15, 882.316, 848.942
ArbitraryCols, 20, 6, 0.2, 1211.16, 1059.57
ArbitraryCols, 20, 6, 0.25, 1473.23, 1336.2
ArbitraryCols, 20, 6, 0.3, 1645.88, 1408.89
ArbitraryCols, 20, 6, 0.35, 1874.68, 1607.31
ArbitraryCols, 20, 6, 0.4, 2060.01, 1780.62
ArbitraryCols, 20, 6, 0.45, 2307.2, 2028.18
ArbitraryCols, 20, 6, 0.5, 2493.31, 2207.15
ArbitraryCols, 20, 6, 0.55, 2619.22, 2242.67
ArbitraryCols, 20, 6, 0.6, 2714.62, 2567.52
ArbitraryCols, 20, 6, 0.65, 2922.71, 2646.37
ArbitraryCols, 20, 6, 0.7, 3214.48, 2806.8
ArbitraryCols, 20, 6, 0.75, 3225.46, 2930.11
ArbitraryCols, 20, 6, 0.8, 3398.2, 3119.72
ArbitraryCols, 20, 6, 0.85, 3633.1, 3282.79
ArbitraryCols, 20, 6, 0.9, 3747.18, 3451.35
ArbitraryCols, 20, 6, 0.95, 3893.53, 3637.31
ArbitraryCols, 20, 6, 1, 4006.98, 4028.77
ArbitraryCols, 20, 5, 0, 29.7666, 31.4123
ArbitraryCols, 20, 5, 0.05, 221.686, 243.218
ArbitraryCols, 20, 5, 0.1, 457.748, 461.526
ArbitraryCols, 20, 5, 0.15, 733.251, 796.834
ArbitraryCols, 20, 5, 0.2, 977.605, 872.728
ArbitraryCols, 20, 5, 0.25, 1106.08, 1079.06
ArbitraryCols, 20, 5, 0.3, 1341.21, 1256.61
ArbitraryCols, 20, 5, 0.35, 1528.53, 1476.13
ArbitraryCols, 20, 5, 0.4, 1636.58, 1584.33
ArbitraryCols, 20, 5, 0.45, 1838.71, 1707.28
ArbitraryCols, 20, 5, 0.5, 1988.36, 1819.41
ArbitraryCols, 20, 5, 0.55, 2151.44, 2037.31
ArbitraryCols, 20, 5, 0.6, 2287.19, 2138.75
ArbitraryCols, 20, 5, 0.65, 2440.79, 2281.84
ArbitraryCols, 20, 5, 0.7, 2566.29, 2476.89
ArbitraryCols, 20, 5, 0.75, 2739.61, 2520.01
ArbitraryCols, 20, 5, 0.8, 2826.06, 2669.48
ArbitraryCols, 20, 5, 0.85, 2929.2, 2851.33
ArbitraryCols, 20, 5, 0.9, 3053.68, 2978.98
ArbitraryCols, 20, 5, 0.95, 3143.6, 3086.45
ArbitraryCols, 20, 5, 1, 3284.05, 3381.57
ArbitraryCols, 20, 4, 0, 29.4889, 31.2447
